Thread ID: 70308912647380
Fiber ID: 70308914915040
Total: 0.053679
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.04      0.000     0.000     0.000     0.000        9   Gherkin::Listener::FormatterListener#replay 
  0.04      0.000     0.000     0.000     0.000        1   Object#replace_instance_exec_invocation_line! 
  0.04      0.000     0.000     0.000     0.000        8   Gherkin::Formatter::TagCountFormatter#method_missing 
  0.04      0.000     0.000     0.000     0.000        9   Enumerable#each_with_index 
  0.04      0.000     0.000     0.000     0.000       18   Kernel#instance_variable_get 
  0.04      0.000     0.000     0.000     0.000        1   File#initialize 
  0.04      0.000     0.000     0.000     0.000        9   Enumerator#each 
  0.04      0.000     0.000     0.000     0.000        7   Kernel#method 
  0.04      0.000     0.000     0.000     0.000        2   Regexp#=~ 
  0.04      0.000     0.000     0.000     0.000        7   Gherkin::Formatter::Model::Step#replay 
  0.04      0.000     0.000     0.000     0.000       21   String#encoding 
  0.04      0.004     0.000     0.000     0.004        7   Cucumber::Ast::TreeWalker#visit_step_name 
  0.04      0.000     0.000     0.000     0.000        7   Cucumber::StepMatch#file_colon_line 
  0.04      0.000     0.000     0.000     0.000       12   Gherkin::Parser::Parser#machine 
  0.04      0.000     0.000     0.000     0.000        6   Motivation::Mote#motive_instances 
  0.04      0.000     0.000     0.000     0.000        8   Cucumber::Parser::GherkinBuilder::ScenarioBuilder#children 
  0.04      0.000     0.000     0.000     0.000        7   Cucumber::Parser::GherkinBuilder::ScenarioBuilder#add_child 
  0.04      0.035     0.000     0.000     0.034        1   Cucumber::Ast::Scenario#accept 
  0.04      0.001     0.000     0.000     0.001        2   Cucumber::Formatter::Summary#dump_status_counts 
  0.04      0.003     0.000     0.000     0.003        2   Cucumber::Runtime::SupportCode#load_files! 
  0.04      0.000     0.000     0.000     0.000        7   Method#to_proc 
  0.04      0.000     0.000     0.000     0.000       15   String#chop! 
  0.04      0.000     0.000     0.000     0.000       18   Array#last 
  0.04      0.002     0.000     0.000     0.002        7   Cucumber::Runtime#step_match 
  0.04      0.000     0.000     0.000     0.000        8   Cucumber::Runtime::SupportCode#load_programming_language 
  0.04      0.000     0.000     0.000     0.000        8   Motivation::Mote#require_parent 
